WorkTimeInSeconds...1,multiplier,amount,age,gender,income,WorkTimeInSeconds...7,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",batch
293,0.05,1,30-39,Male,"$20,000 - $39,999",461,72,83,Donald Trump,TX,Democrat,A few times a year,g
368,0.11,0,30-39,Male,"$60,000 - $79,999",67,100,0,Hillary Clinton,WI,Democrat,Never,g
84,1.34,0.2,30-39,Male,"$80,000 - $99,999",53,90,0,Hillary Clinton,PA,Democrat,Never,g
1348,1.51,0.4,30-39,Male,"$60,000 - $79,999",61.5,71.5,6.5,Hillary Clinton,MA,Democrat,Never,g
91,1.91,0.5,30-39,Male,"$40,000 - $59,999",53.5,71.5,9,Donald Trump,TX,Democrat,Never,g
375,0.59,0,30-39,Male,"$40,000 - $59,999",1676,73,63,Donald Trump,OH,Democrat,Once a week,g
94,1.14,0.25,30-39,Male,"$80,000 - $99,999",48,95,94,Hillary Clinton,OK,Democrat,Once a week,g
130,0.9,0.4,30-39,Female,"$80,000 - $99,999",64,9,92,Donald Trump,TX,Republican,Once a week,g
49,0.32,0,30-39,Female,"$80,000 - $99,999",39,1,0,Donald Trump,FL,Republican,Never,g
164,0.86,0,50-59,Female,"$80,000 - $99,999",56.5,41,12,Hillary Clinton,NY,Democrat,Seldom,g
296,1.16,0.4,60-69,Female,"$20,000 - $39,999",60,53.5,16.5,Hillary Clinton,PA,Democrat,Never,g
63,1.92,0,18-29,Male,"$80,000 - $99,999",45.5,73,4.5,Hillary Clinton,CA,Democrat,Never,g
616,0.72,1,30-39,Female,"Under $20,000",28,71,0,Hillary Clinton,GA,Democrat,Never,g
71,1.66,0,18-29,Female,"Over $100,000",30,100,0,Hillary Clinton,TX,Democrat,Never,g
451,0.71,0,18-29,Other / Prefer not to state,"Under $20,000",41.5,78,1,Hillary Clinton,CA,Democrat,Never,g
317,1.32,0,18-29,Female,"$60,000 - $79,999",133,93,11,Hillary Clinton,CT,Democrat,Seldom,g
108,1.54,0.5,18-29,Female,"$20,000 - $39,999",40.5,73.5,5,Hillary Clinton,WA,Democrat,Never,g
88,1.82,1,30-39,Female,"$60,000 - $79,999",36,91,0,Hillary Clinton,WI,Democrat,Never,g
46,1.51,0,30-39,Female,"Under $20,000",25,51,69,Didn't vote,SC,Independent,A few times a year,g
226,0.13,1,18-29,Male,"Over $100,000",81.5,73,55,Hillary Clinton,IN,Independent,Never,g
101,1.8,0.2,18-29,Female,"Over $100,000",38,21,65,Donald Trump,FL,Republican,A few times a year,g
116,0.02,0.5,18-29,Female,"$40,000 - $59,999",131,51,51,Donald Trump,TX,Republican,Seldom,g
917,1.23,0.4,18-29,Male,"$20,000 - $39,999",32,38,9,Someone else,WA,Independent,A few times a year,g
77,1.1,0,60-69,Female,"$60,000 - $79,999",64,95,22,Hillary Clinton,PA,Democrat,A few times a year,g
87,0.13,0,18-29,Male,"$40,000 - $59,999",54.5,73.5,0,Hillary Clinton,NJ,Democrat,Never,g
100,1.01,0,50-59,Female,"$20,000 - $39,999",141,90,0,Hillary Clinton,MD,Democrat,Never,g
1529,1.96,0,18-29,Male,"Over $100,000",45.5,79.5,0,Hillary Clinton,NJ,Democrat,Never,g
166,0.99,0,40-49,Male,"$40,000 - $59,999",52,92,0,Hillary Clinton,MN,Democrat,Never,g
59,0.92,0.2,18-29,Female,"Over $100,000",800,86,58,Hillary Clinton,MD,Independent,A few times a year,g
178,1.94,0.4,30-39,Male,"$60,000 - $79,999",92.5,54,34,Didn't vote,TX,Independent,Never,g
155,1.34,0.25,50-59,Female,"$20,000 - $39,999",76,89,1,Hillary Clinton,MD,Democrat,Never,g
234,0.23,1,18-29,Male,"$60,000 - $79,999",106,89,71,Hillary Clinton,AL,Independent,Once or twice a month,g
70,1.37,0.4,40-49,Female,"$40,000 - $59,999",34,13,99,Donald Trump,MI,Republican,Once a week,g
284,1.56,0,30-39,Male,"$80,000 - $99,999",53.5,60,4.5,Hillary Clinton,OR,Democrat,Never,g
88,0.96,0,18-29,Female,"Under $20,000",68,55,4,Didn't vote,OR,Democrat,Never,g
35,2,0,40-49,Female,"$80,000 - $99,999",44,7,100,Donald Trump,ME,Republican,More than once a week,g
180,0.89,0.53,30-39,Female,"$60,000 - $79,999",64,69,73,Donald Trump,FL,Republican,Once or twice a month,g
231,1.28,0.2,18-29,Male,"$20,000 - $39,999",33,40,81,Didn't vote,MD,Independent,Seldom,g
321,0.73,1,18-29,Male,"$40,000 - $59,999",106,44,51,Hillary Clinton,AL,Republican,Once or twice a month,g
179,0.6,1,30-39,Female,"$20,000 - $39,999",52.5,67,14,Hillary Clinton,OR,Democrat,Never,g
158,1.87,0,18-29,Female,"$60,000 - $79,999",42,92,0,Hillary Clinton,CA,Democrat,Never,g
213,0.16,1,18-29,Male,"$60,000 - $79,999",106,60.5,53,Donald Trump,FL,Republican,Once or twice a month,g
1321,0.79,0,18-29,Female,"$40,000 - $59,999",52,78,78,Didn't vote,FL,Democrat,Seldom,g
91,1.74,0.4,30-39,Female,"$60,000 - $79,999",770,51,9,Didn't vote,WI,Independent,Never,g
87,0.4,0,18-29,Female,"$80,000 - $99,999",21,85,15,Hillary Clinton,CA,Democrat,Once or twice a month,g
255,1.38,0.4,60-69,Female,"Under $20,000",116,30,81,Didn't vote,WA,Independent,Once a week,g
53,2,0.5,18-29,Female,"$20,000 - $39,999",40.5,70.5,9,Hillary Clinton,WA,Democrat,Never,g
833,0.01,0,18-29,Male,"$40,000 - $59,999",126,76,57.5,Donald Trump,NJ,Democrat,Never,g
71,1.69,0,18-29,Male,"$20,000 - $39,999",51,83,0,Hillary Clinton,OR,Democrat,Never,g
68,1.23,0,18-29,Female,"$40,000 - $59,999",41.5,76.5,31,Hillary Clinton,TX,Democrat,Never,g
87,0.93,0,30-39,Female,"Over $100,000",60,87,19.5,Hillary Clinton,IL,Democrat,Never,g
71,1.75,0,40-49,Female,"Over $100,000",66.5,39.5,17.5,Donald Trump,CO,Republican,Never,g
1718,0.11,1,18-29,Male,"$40,000 - $59,999",1443,61,59,Donald Trump,CA,Democrat,Once a week,g
138,1.98,0.5,60-69,Female,"Under $20,000",54,81,86,Hillary Clinton,PA,Democrat,A few times a year,g
70,1.32,1,30-39,Male,"$80,000 - $99,999",96,58,41,Hillary Clinton,SC,Democrat,Never,g
167,0.69,0.2,40-49,Female,"$40,000 - $59,999",378,24,71,Donald Trump,IL,Republican,A few times a year,g
47,0.32,0.8,30-39,Female,"$60,000 - $79,999",23,100,81,Hillary Clinton,TX,Democrat,Once or twice a month,g
93,0.57,0,30-39,Female,"$20,000 - $39,999",223,30,0,Donald Trump,CA,Independent,Never,g
548,0.19,0,40-49,Female,"$60,000 - $79,999",47,82,0,Hillary Clinton,PA,Democrat,Never,g
94,1.06,0.5,30-39,Male,"$40,000 - $59,999",63,71.5,8.5,Hillary Clinton,PA,Democrat,Never,g
103,0.75,0.6,60-69,Male,"Under $20,000",71,50,85,Donald Trump,OH,Independent,Never,g
106,1.54,0.5,18-29,Female,"Over $100,000",43,73,18.5,Hillary Clinton,CT,Democrat,Seldom,g
77,1.74,1,50-59,Female,"Over $100,000",32,51,9,Hillary Clinton,NY,Independent,Seldom,g
102,0.77,0.2,30-39,Female,"$80,000 - $99,999",36,54,9,Hillary Clinton,OR,Republican,Never,g
66,0.67,0,30-39,Female,"Over $100,000",54,68.5,4.5,Hillary Clinton,MD,Democrat,Never,g
131,1.06,0,30-39,Male,"$40,000 - $59,999",63.5,88,0,Hillary Clinton,PA,Democrat,Never,g
117,1.92,0,18-29,Female,"$20,000 - $39,999",47,69,0,Someone else,IN,Democrat,Never,g
134,1.11,0.4,30-39,Male,"$60,000 - $79,999",2219,46,66,Donald Trump,SC,Republican,Once or twice a month,g
98,0.84,1,50-59,Male,"$60,000 - $79,999",78,4,35,Donald Trump,FL,Republican,Never,g
76,1.37,0.1,30-39,Male,"$40,000 - $59,999",39,9,0,Donald Trump,PA,Republican,Never,g
150,0.76,0.2,30-39,Female,"$80,000 - $99,999",62.5,61.5,12.5,Donald Trump,SC,Republican,Never,g
35,1.85,0,30-39,Female,"$40,000 - $59,999",928,96,89,Hillary Clinton,GA,Democrat,Once or twice a month,g
73,1.63,0.3,18-29,Female,"$80,000 - $99,999",96,68,45,Hillary Clinton,SC,Independent,A few times a year,g
48,1.64,0.4,30-39,Female,"Over $100,000",47.5,85.5,12,Hillary Clinton,OH,Democrat,Never,g
94,0.24,1,18-29,Female,"$20,000 - $39,999",73,86,9,Hillary Clinton,IN,Democrat,Seldom,g
257,1.06,0.35,18-29,Male,"$40,000 - $59,999",116.5,59.5,51,Donald Trump,CA,Republican,Once a week,g
253,0.95,0.2,18-29,Female,"Under $20,000",38,81,10,Hillary Clinton,LA,Democrat,Seldom,g
94,0.06,0,18-29,Male,"$40,000 - $59,999",54.5,76,0,Hillary Clinton,NJ,Democrat,Never,g
80,0.39,1,40-49,Male,"$40,000 - $59,999",82,58.5,60.5,Donald Trump,TX,Republican,A few times a year,g
184,1.34,0,30-39,Male,"$20,000 - $39,999",48.5,58,7,Hillary Clinton,CA,Democrat,Never,g
89,1.32,0.5,30-39,Female,"$40,000 - $59,999",51,60,34,Hillary Clinton,OH,Democrat,Never,g
119,1.32,0,40-49,Female,"Over $100,000",81,9,20,Donald Trump,DE,Republican,A few times a year,g
94,1.14,0.4,60-69,Female,"$20,000 - $39,999",49,83,0,Hillary Clinton,WA,Democrat,Never,g
67,1.23,0,30-39,Male,"$20,000 - $39,999",60.5,58,7,Donald Trump,OH,Independent,Never,g
81,0.82,1,30-39,Male,"$60,000 - $79,999",500,69.5,68,Donald Trump,TX,Democrat,A few times a year,g
102,1.13,0,60-69,Female,"$20,000 - $39,999",73,42,20,Donald Trump,FL,Independent,Seldom,g
138,1.81,0.3,40-49,Female,"$40,000 - $59,999",66,75,86,Hillary Clinton,PA,Democrat,Once a week,g
70,1.12,0.4,30-39,Male,"Under $20,000",28,56,0,Donald Trump,NC,Independent,Never,g
87,1.65,1,30-39,Male,"$80,000 - $99,999",90.5,45,42.5,Donald Trump,TX,Republican,A few times a year,g
105,1.04,0.45,30-39,Male,"$20,000 - $39,999",53,44,75,Didn't vote,MI,Independent,Never,g
94,1.84,1,40-49,Female,"$40,000 - $59,999",77,9,71,Donald Trump,VA,Republican,A few times a year,g
86,1.4,0.4,18-29,Female,"Under $20,000",39,100,1,Hillary Clinton,WA,Democrat,Never,g
263,0.4,0,30-39,Male,"$40,000 - $59,999",950,81,0,Hillary Clinton,VA,Independent,Never,g
88,0.58,0.5,30-39,Female,"Over $100,000",51,50.5,14,Hillary Clinton,KY,Democrat,Never,g
50,1.5,1,60-69,Male,"Over $100,000",79,60.5,6,Hillary Clinton,TX,Democrat,Never,g
253,1.52,0,30-39,Male,"Under $20,000",1024,50,0,Didn't vote,MI,Independent,Never,g
425,1.44,0.6,30-39,Female,"$40,000 - $59,999",110,85,84,Hillary Clinton,PA,Democrat,Once or twice a month,g
117,0.78,0.2,30-39,Male,"$20,000 - $39,999",821,100,0,Hillary Clinton,OR,Democrat,Never,g
120,1.45,0.4,18-29,Male,"$20,000 - $39,999",53,83,9,Didn't vote,NV,Democrat,Never,g
89,1.29,0.5,40-49,Male,"Over $100,000",32,19,0,Donald Trump,CO,Republican,Never,g
305,1.03,0.2,30-39,Female,"$20,000 - $39,999",60,55.5,11,Donald Trump,FL,Independent,Never,g
196,1.7,0,18-29,Male,"Under $20,000",325,43,25,Donald Trump,NY,Independent,A few times a year,g
919,1.28,0,30-39,Male,"$80,000 - $99,999",156,77,0,Someone else,MN,Democrat,Never,g
56,0.29,0.6,18-29,Female,"$20,000 - $39,999",45,84.5,4.5,Hillary Clinton,WA,Democrat,Never,g
814,0.66,0.1,18-29,Male,"$20,000 - $39,999",1399,83,88,Someone else,TX,Independent,Once a week,g
765,0.22,1,30-39,Male,"$60,000 - $79,999",61,71,37.5,Hillary Clinton,TX,Democrat,Never,g
83,0.23,0,18-29,Male,"$20,000 - $39,999",71,79,0,Hillary Clinton,TX,Democrat,Never,g
93,0.23,0,50-59,Male,"$20,000 - $39,999",75,55.5,0.5,Hillary Clinton,MD,Democrat,Never,g
1602,0.03,0,30-39,Female,"$20,000 - $39,999",53,61,3,Donald Trump,FL,Republican,Never,g
1705,0.68,0,18-29,Female,"Under $20,000",38.5,82,1,Hillary Clinton,CA,Democrat,Never,g
139,1.41,0.2,18-29,Male,"$40,000 - $59,999",45,68,24.5,Donald Trump,WA,Republican,Seldom,g
87,1.82,0,18-29,Male,"$60,000 - $79,999",45.5,45,9,Hillary Clinton,CA,Democrat,Never,g
113,0.5,0,18-29,Male,"$40,000 - $59,999",127,19,0,Donald Trump,NJ,Republican,Seldom,g
94,1.65,1,30-39,Female,"$20,000 - $39,999",53,72,67,Hillary Clinton,CA,Independent,A few times a year,g
145,0.72,0,30-39,Male,"$20,000 - $39,999",461,72.5,64.5,Donald Trump,TX,Democrat,Once a week,g
166,0.02,1,30-39,Male,"$40,000 - $59,999",114,72.5,36,Hillary Clinton,TX,Democrat,Never,g
85,1,0.5,18-29,Female,"$40,000 - $59,999",41.5,59.5,48,Hillary Clinton,TX,Democrat,Never,g
65,1.46,0,30-39,Male,"Over $100,000",186,67,0,Someone else,OH,Independent,Never,g
523,1.11,0,18-29,Male,"$20,000 - $39,999",57,85,0,Hillary Clinton,NM,Democrat,Never,g
115,0.65,0,30-39,Female,"Over $100,000",49,68.5,4.5,Hillary Clinton,KY,Democrat,Never,g
69,0.69,0,18-29,Male,"$20,000 - $39,999",25,75,0,Hillary Clinton,CA,Democrat,Never,g
195,1.63,0.2,60-69,Male,"$20,000 - $39,999",58,90,0,Someone else,IL,Independent,Never,g
38,1.89,0.5,40-49,Female,"$80,000 - $99,999",33,31,70,Donald Trump,LA,Independent,A few times a year,g
749,1.38,0.4,18-29,Male,"$20,000 - $39,999",52.5,82,4.5,Someone else,IL,Democrat,Never,g
75,0.92,0,18-29,Male,"$20,000 - $39,999",55,80.5,0,Hillary Clinton,NJ,Democrat,Never,g
119,0.47,0,30-39,Female,"$40,000 - $59,999",45.5,59.5,34.5,Hillary Clinton,IN,Democrat,Never,g
100,1.3,0.1,18-29,Male,"$20,000 - $39,999",55,81.5,0,Hillary Clinton,OK,Democrat,Never,g
85,0.4,0,40-49,Female,"$40,000 - $59,999",41,87,0,Donald Trump,NY,Independent,Never,g
121,0.04,0,40-49,Male,"$20,000 - $39,999",54.5,41,19.5,Hillary Clinton,CA,Democrat,Never,g
197,1.29,0.4,30-39,Female,"$60,000 - $79,999",56,100,0,Hillary Clinton,OH,Democrat,Never,g
137,0.79,0,18-29,Male,"$20,000 - $39,999",55,80.5,0,Hillary Clinton,NJ,Democrat,Never,g
70,0.05,0.2,40-49,Female,"$40,000 - $59,999",59,50,16,Didn't vote,OK,Independent,Seldom,g
1503,0.6,1,30-39,Male,"$60,000 - $79,999",29,100,0,Hillary Clinton,MA,Democrat,Never,g
63,0.68,0.4,30-39,Female,"$40,000 - $59,999",34,19,52,Someone else,CO,Republican,A few times a year,g
127,1.86,0.4,30-39,Female,"$40,000 - $59,999",65,51,34,Hillary Clinton,PA,Democrat,Never,g
102,0.9,0,40-49,Male,"Under $20,000",53,60,0,Didn't vote,MA,Democrat,Never,g
249,0.49,0,18-29,Male,"$40,000 - $59,999",85,95,0,Hillary Clinton,NJ,Democrat,Never,g
72,1.57,1,18-29,Male,"Over $100,000",45,71.5,9,Hillary Clinton,IN,Democrat,Never,g
107,1.09,0,40-49,Female,"Over $100,000",62,24,3,Donald Trump,CO,Republican,Never,g
168,1.83,0.8,18-29,Female,"Under $20,000",123,60,22,Didn't vote,FL,Democrat,A few times a year,g
489,1.15,0,30-39,Male,"$20,000 - $39,999",128,9,66,Donald Trump,CO,Republican,Seldom,g
143,0.24,1,18-29,Female,"$20,000 - $39,999",1763,87,0,Didn't vote,NJ,Democrat,Never,g
60,1.83,0.4,40-49,Female,"Over $100,000",76,55,15,Donald Trump,MD,Republican,Seldom,g
96,0.37,0,30-39,Male,"$40,000 - $59,999",59.5,88,0,Hillary Clinton,CA,Democrat,Never,g
208,0.35,0.5,60-69,Male,"Under $20,000",62,100,0,Someone else,MO,Democrat,Never,g
91,1.32,0.2,18-29,Female,"$60,000 - $79,999",48,82,15,Hillary Clinton,WA,Democrat,Never,g
86,1.58,0,40-49,Male,"$20,000 - $39,999",58,0,76,Someone else,MN,Republican,Once a week,g
264,0.67,1,40-49,Male,"Under $20,000",87,60,50,Didn't vote,IN,Democrat,Seldom,g
96,1.4,0,40-49,Female,"Over $100,000",73.5,52.5,13.5,Donald Trump,IL,Republican,A few times a year,f
619,1.47,0,30-39,Female,"$40,000 - $59,999",2999,51,11,Didn't vote,WI,Independent,Never,f
179,1.93,1,18-29,Female,"$60,000 - $79,999",118.5,57.5,54.5,Donald Trump,NC,Republican,Once or twice a month,f
90,0.22,0.5,30-39,Female,"$20,000 - $39,999",41,79,13,Hillary Clinton,MS,Democrat,Never,f
156,1.91,0.05,30-39,Female,"$40,000 - $59,999",30,50,0,Hillary Clinton,CA,Independent,Never,f
68,1.87,0.4,30-39,Female,"Over $100,000",35,71,35,Hillary Clinton,OH,Democrat,Never,f
354,0.45,0.2,30-39,Male,"$20,000 - $39,999",103,81,78,Donald Trump,FL,Republican,Once a week,f
810,1.96,0,18-29,Male,"$80,000 - $99,999",60.5,68,36.5,Hillary Clinton,NJ,Democrat,Never,f
190,0.36,1,50-59,Male,"Under $20,000",46,73,0,Hillary Clinton,AL,Democrat,Never,f
466,1.98,0.2,50-59,Female,"$80,000 - $99,999",627,81,20,Hillary Clinton,AZ,Democrat,Seldom,f
189,1.54,0.2,50-59,Female,"$40,000 - $59,999",84,40,86,Didn't vote,AZ,Republican,A few times a year,f
366,0.78,0.2,60-69,Female,"$60,000 - $79,999",256,15,80,Donald Trump,PA,Republican,Once a week,f
155,1.44,0.4,40-49,Male,"$20,000 - $39,999",88,95,0,Hillary Clinton,FL,Democrat,Never,f
75,1.16,1,18-29,Male,"$40,000 - $59,999",2298,71,64,Donald Trump,TX,Republican,Once a week,f
168,1.78,0.6,50-59,Female,"Under $20,000",153,45,1,Someone else,IN,Independent,Never,f
78,1.95,1,50-59,Male,"$20,000 - $39,999",55,66.5,2.5,Hillary Clinton,KY,Democrat,Never,f
85,0.19,0,30-39,Female,"$60,000 - $79,999",49,92,7,Hillary Clinton,MD,Democrat,Seldom,f
152,0.99,0,18-29,Female,"Under $20,000",82,82,0,Hillary Clinton,NY,Democrat,Seldom,f
84,0.23,1,30-39,Male,"$60,000 - $79,999",55,63,0,Hillary Clinton,KY,Democrat,Never,f
124,0.14,0,50-59,Female,"Over $100,000",41,85,66,Hillary Clinton,IA,Democrat,More than once a week,f
56,1.57,0,18-29,Male,"Over $100,000",38.5,60,15.5,Hillary Clinton,AL,Democrat,Never,f
68,1.72,1,30-39,Male,"$60,000 - $79,999",29,1,81,Donald Trump,CT,Republican,Never,f
73,1.82,0.2,18-29,Male,"$40,000 - $59,999",34,57,40,Donald Trump,WA,Independent,A few times a year,f
1298,1.97,0.6,18-29,Male,"$40,000 - $59,999",1456,78,66,Hillary Clinton,AL,Democrat,Seldom,f
109,0.26,0,30-39,Female,"$20,000 - $39,999",56.5,80,12,Hillary Clinton,TX,Democrat,Never,f
165,1.88,0.2,18-29,Female,Prefer not to state,111,76,0,Hillary Clinton,PA,Independent,Never,f
1595,1.35,1,30-39,Female,"$20,000 - $39,999",66.5,58,62.5,Didn't vote,WI,Democrat,Never,f
133,1.09,1,40-49,Female,"$20,000 - $39,999",126,0,1,Didn't vote,MA,Independent,Never,f
142,0.69,0.2,30-39,Male,"$20,000 - $39,999",335,70.5,41,Donald Trump,TX,Democrat,Once a week,f
100,1.97,0.05,40-49,Female,"$40,000 - $59,999",413,62,71,Donald Trump,IL,Democrat,A few times a year,f
56,0.83,1,50-59,Male,"Over $100,000",36,61,10,Didn't vote,FL,Independent,Never,f
139,0.75,0,40-49,Male,"Over $100,000",45,40,0,Donald Trump,IL,Republican,Never,f
111,0.54,1,30-39,Male,"Over $100,000",58,68,0,Hillary Clinton,CO,Independent,Never,f
49,0.62,0.4,30-39,Female,"Over $100,000",36,19,60,Donald Trump,NC,Republican,Once or twice a month,f
158,1.12,0.4,40-49,Female,"Over $100,000",59,8,16,Someone else,CA,Republican,A few times a year,f
262,1.42,0.13,18-29,Male,"Under $20,000",201,71,71,Donald Trump,TX,Independent,Once a week,f
96,1.13,0,30-39,Male,"$60,000 - $79,999",41,19,98,Someone else,OH,Republican,More than once a week,f
205,1.91,0.5,18-29,Male,"$40,000 - $59,999",870,51,51,Didn't vote,TN,Democrat,Never,f
256,0.38,1,70 or over,Female,"$20,000 - $39,999",96,0,100,Donald Trump,KY,Republican,More than once a week,f
49,0.79,0,30-39,Female,"$60,000 - $79,999",42,50.5,13,Didn't vote,WI,Independent,Never,f
68,0.92,0,40-49,Female,"Over $100,000",52,67,0,Hillary Clinton,MI,Democrat,Never,f
106,1.01,0.2,50-59,Female,"$60,000 - $79,999",50.5,40,54.5,Didn't vote,FL,Independent,Never,f
170,1.25,0.6,30-39,Female,"$40,000 - $59,999",65,8,100,Didn't vote,CA,Republican,More than once a week,f
78,1.77,1,30-39,Female,"$80,000 - $99,999",41,30.5,31,Hillary Clinton,CA,Democrat,Never,f
